년도,월,순위,타이틀,가수,프로듀서
2019,1,82,죽일 놈 (Guilty),다이나믹 듀오 (Dynamicduo),"GAEKO, Choiza, Primary"
2019,1,86,감아 (Feat. Crush),로꼬 (Loco),"GRAY, Crush"
2019,1,88,아이야 (Feat. Beenzino),창모 (CHANGMO),CHANGMO
2019,1,89,주황색 (Feat. 박재범) (Prod. 코드 쿤스트),pH-1 (피에이치원),"CODE KUNST, pH-1"
2019,1,92,북 (Prod. SLO),"Rohann (이로한), 김농밀 (nongmill kim)",SLO
2019,1,93,몸매 (MOMMAE) (Feat. Ugly Duck),박재범 (Jay Park),"Jay Park, GRAY"
2019,1,94,Jasmine,DPR LIVE (디피알 라이브),"DPR LIVE, CODE KUNST"
2019,1,96,"노땡큐 (Feat. MINO, 사이먼 도미닉, 더콰이엇)",에픽하이 (EPIK HIGH),"DJ 투컷, Tablo, The Quiett"
2019,1,98,어린 왕자 (Prod. Godic),"김하온 (HAON), PULLIK (박준호)","Godic, GLOVE"
2019,1,99,No.5 (Feat. Crush),페노메코 (PENOMECO),"Made By Me, PENOMECO, Crush, NOD"
2019,1,100,우산 (Feat. 윤하),에픽하이 (EPIK HIGH),Tablo
2019,2,2,띵 (Prod. By 기리보이),"Jvcki Wai (재키와이), 양홍원 (YANGHONGWON), Osshun Gum (오션검), 한요한 (HANYOHAN)","Jvcki Wai, GIRIBOY"
2019,2,4,아낙네,MINO (송민호),"MINO, FUTURE BOUNCE, TEXU"
2019,2,5,오랜만이야 (Feat. Zion.T),로꼬 (Loco),"GRAY, Zion.T, Loco"
2019,2,7,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1 (피에이치원), 키드밀리 (Kid Milli), 루피 (Loopy)","CODE KUNST, Paloalto, pH-1, Kid Milli, Loopy"
2019,2,11,flex (Prod. By 기리보이),"기리보이 (GIRIBOY), 키드밀리 (Kid Milli), NO:EL (노엘), 스윙스 (Swings)",GIRIBOY
2019,2,13,시간이 들겠지 (Feat. Colde),로꼬 (Loco),"APRO, Loco, Colde"
2019,2,16,IndiGO,"저스디스 (JUSTHIS), 키드밀리 (Kid Milli), NO:EL (노엘), 양홍원 (YANGHONGWON)",BRLLNT
2019,2,19,Heu ! (Full Ver.),수퍼비 (SUPERBEE),"SUPERBEE, Flash Note"
2019,2,26,수퍼비와 (Feat. BewhY) (Prod. BewhY),수퍼비 (SUPERBEE),"Truthislonely, twlv, SUPERBEE"
2019,2,27,"행성 (This Night) (Feat. Blue.D, Jhnovr)",그루비룸 (GroovyRoom),"GroovyRoom, Blue.D, Jhnovr, WOODZ"
2019,2,28,Save (Feat. 팔로알토)(Prod. 코드 쿤스트),루피 (Loopy),"CODE KUNST, Loopy, Paloalto"
2019,2,29,붕붕 (Feat. 식케이) (Prod. GroovyRoom),김하온 (HAON),"GroovyRoom, Sik-K"
2019,2,30,사임사임 (Feat. CHANGMO),"쿠기 (Coogie), 수퍼비 (SUPERBEE), D.Ark (디아크)",CHANGMO
2019,2,31,시차 (We Are) (Feat. 로꼬 & GRAY),우원재 (Woo Wonjae),GRAY
2019,2,33,Enchanted Propaganda,Jvcki Wai (재키와이),Eddy Pauer
2019,2,34,소년점프 (Feat. 배기성),마미손 (Mommy Son),"Mommy Son, Ye-Yo!"
2019,2,35,꽃 (Prod. AVIN),김하온 (HAON),"HAON, AVIN"
2019,2,37,아름다워,창모 (CHANGMO),CHANGMO
2019,2,38,엉켜 (Feat. pH-1),로꼬 (Loco),"Mokyo, pH-1, Jetti"
2019,2,39,NoNo (Feat. 사이먼 도미닉) (Prod. 코드 쿤스트),루피 (Loopy),"CODE KUNST, Loopy, Simon Dominic"
2019,2,40,Selfmade Orange (Feat. SUPERBEE),창모 (CHANGMO),CHANGMO
2019,2,43,잘가 (Feat. Paloalto),로꼬 (Loco),"WOOGIE, Loco"
2019,2,45,iffy (Prod. GroovyRoom),"식케이 (Sik-K), pH-1 (피에이치원), 박재범 (Jay Park), 그루비룸 (GroovyRoom)",GroovyRoom
2019,2,47,널 너무 모르고,헤이즈 (Heize),GroovyRoom
2019,2,48,Jenga (Feat. Gaeko),헤이즈 (Heize),"Heize, DAVII"
2019,2,50,WHY DO FUCKBOIS HANG OUT ON THE NET,키드밀리 (Kid Milli),"Kid Milli, 이수호"
2019,2,51,바코드 (Prod. GroovyRoom),"김하온 (HAON), 빈첸 (VINXEN)",GroovyRoom
2019,2,52,돌아오지마 (Feat. 용준형 Of 비스트),헤이즈 (Heize),"Heize, 브라더수"
2019,2,53,어땠을까 (Feat. 박정현),싸이 (PSY),"PSY, 유건형"
2019,2,54,NOTHING,로꼬 (Loco),"GooseBumps, Loco, Sojeso"
2019,2,55,+82 Bars,수퍼비 (SUPERBEE),Flash Note
2019,2,56,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),"Tablo, DJ 투컷"
2019,2,59,북향 (Feat. 오혁),다이나믹 듀오 (Dynamicduo),"GAEKO, Padi, Vendy"
2019,2,61,"NOAH (Feat. 박재범, Hoody)",김하온 (HAON),"GroovyRoom, Jay Park"
2019,2,63,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",리쌍 (LEESSANG),"Leon Russell, Bonnie Bramlett, Delaney Bramlett, 길, PEEJAY"
2019,2,64,5 Gawd,수퍼비 (SUPERBEE),"SUPERBEE, Flash Note"
2019,2,65,마에스트로 (Maestro),창모 (CHANGMO),CHANGMO
2019,2,67,"And July (Feat. DEAN, DJ Friz)",헤이즈 (Heize),"Deanfluenza, Hyuk Shin, J Bird, Esta, Delly Boi, DK"
2019,2,68,Wu,나플라 (nafla),nafla
2019,2,70,Martini Blue,DPR LIVE (디피알 라이브),"DPR LIVE, DPR CREAM"
2019,2,71,자니 (Feat. Dynamic Duo),프라이머리 (Primary),"GAEKO, Primary"
2019,2,73,Hate You (Feat. 우원재) (Prod. 코드 쿤스트),pH-1 (피에이치원),"CODE KUNST, pH-1"
2019,2,74,Artist,지코 (ZICO),"ZICO, Poptime"
2019,2,75,Work Out,"Jvcki Wai (재키와이), 키드밀리 (Kid Milli), NO:EL (노엘), 양홍원 (YANGHONGWON), 스윙스 (Swings)",P#000000
2019,2,76,Some Beatmaker (Feat. Svng (상) & 우원재),로꼬 (Loco),"wherechoi, Svng"
2019,2,77,감아 (Feat. Crush),로꼬 (Loco),"GRAY, Crush"
2019,2,78,Honmono (Feat. Black Nut),키드밀리 (Kid Milli),IOAH
2019,2,82,죽일 놈 (Guilty),다이나믹 듀오 (Dynamicduo),"GAEKO, Choiza, Primary"
2019,2,83,MOMM (Feat. JUSTHIS) (Prod. 코드 쿤스트),키드밀리 (Kid Milli),"CODE KUNST, Kid Milli"
2019,2,84,IndiGO Remix,"기리보이 (GIRIBOY), The Quiett (더 콰이엇), 마미손 (Mommy Son), 스윙스 (Swings)",BRLLNT
2019,2,85,Jasmine,DPR LIVE (디피알 라이브),"DPR LIVE, CODE KUNST"
2019,2,86,IMJMWDP (Prod. By 기리보이),"기리보이 (GIRIBOY), NO:EL (노엘), 블랙넛 (Black Nut), 양홍원 (YANGHONGWON), Osshun Gum (오션검), YUNHWAY (윤훼이), 저스디스 (JUSTHIS), Jvcki Wai (재키와이), 키드밀리 (Kid Milli), 한요한 (HANYOHAN), 스윙스 (Swings)",GIRIBOY
2019,2,87,Late Night,"로꼬 (Loco), GRAY (그레이)","Loco, GRAY"
2019,2,91,Change (Feat. GRAY) (Prod. 코드 쿤스트),키드밀리 (Kid Milli),"CODE KUNST, GRAY, Kid Milli"
2019,2,93,북 (Prod. SLO),"Rohann (이로한), 김농밀 (nongmill kim)",SLO
2019,2,94,아이야 (Feat. Beenzino),창모 (CHANGMO),CHANGMO
2019,2,95,억 (Feat. CHANGMO) (Prod. CHANGMO),수퍼비 (SUPERBEE),"SUPERBEE, CHANGMO"
2019,2,96,몸매 (MOMMAE) (Feat. Ugly Duck),박재범 (Jay Park),"Jay Park, GRAY"
2019,2,98,어린 왕자 (Prod. Godic),"김하온 (HAON), PULLIK (박준호)","Godic, GLOVE"
2019,3,1,술이 달다 (Feat. Crush),에픽하이 (EPIK HIGH),"Tablo, DJ 투컷, philtre"
2019,3,3,띵 (Prod. By 기리보이),"Jvcki Wai (재키와이), 양홍원 (YANGHONGWON), Osshun Gum (오션검), 한요한 (HANYOHAN)","Jvcki Wai, GIRIBOY"
2019,3,5,아낙네,MINO (송민호),"MINO, FUTURE BOUNCE, TEXU"
2019,3,8,오랜만이야 (Feat. Zion.T),로꼬 (Loco),"GRAY, Zion.T, Loco"
2019,3,9,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1 (피에이치원), 키드밀리 (Kid Milli), 루피 (Loopy)","CODE KUNST, Paloalto, pH-1, Kid Milli, Loopy"
2019,3,12,flex (Prod. By 기리보이),"기리보이 (GIRIBOY), 키드밀리 (Kid Milli), NO:EL (노엘), 스윙스 (Swings)",GIRIBOY
2019,3,13,호불호 (Feat. 기리보이) (Prod. By GRAY),우원재 (Woo Wonjae),"Woo Wonjae, GRAY"
2019,3,16,눈 (Prod. 기리보이),"Lil tachi (릴타치), 호치키스 (HOTCHKISS)",GIRIBOY
2019,3,17,새벽에,에픽하이 (EPIK HIGH),"Tablo, SUGA, EL CAPITXN"
2019,3,19,IndiGO,"저스디스 (JUSTHIS), 키드밀리 (Kid Milli), NO:EL (노엘), 양홍원 (YANGHONGWON)",BRLLNT
2019,3,21,시간이 들겠지 (Feat. Colde),로꼬 (Loco),"APRO, Loco, Colde"
2019,3,25,In Seoul (Feat. 선우정아),에픽하이 (EPIK HIGH),"Tablo, DJ 투컷"
2019,3,28,별 헤는 밤 (Prod. CODE KUNST),"김민규 (Young Kay), Gist (윤현선)",CODE KUNST
2019,3,29,Heu ! (Full Ver.),수퍼비 (SUPERBEE),"SUPERBEE, Flash Note"
2019,3,30,붕붕 (Feat. 식케이) (Prod. GroovyRoom),김하온 (HAON),"GroovyRoom, Sik-K"
2019,3,31,비가 온대 내일도,에픽하이 (EPIK HIGH),"Tablo, DJ 투컷"
2019,3,32,IMJMWDP (Prod. By 기리보이),"기리보이 (GIRIBOY), NO:EL (노엘), 블랙넛 (Black Nut), 양홍원 (YANGHONGWON), Osshun Gum (오션검), YUNHWAY (윤훼이), 저스디스 (JUSTHIS), Jvcki Wai (재키와이), 키드밀리 (Kid Milli), 한요한 (HANYOHAN), 스윙스 (Swings)",GIRIBOY
2019,3,33,No Different (Feat. Yuna),에픽하이 (EPIK HIGH),"Tablo, CODE KUNST, Ilsey Juber"
2019,3,34,수퍼비와 (Feat. BewhY) (Prod. BewhY),수퍼비 (SUPERBEE),"Truthislonely, twlv, SUPERBEE"
2019,3,35,시차 (We Are) (Feat. 로꼬 & GRAY),우원재 (Woo Wonjae),GRAY
2019,3,36,주지마,"로꼬 (Loco), 화사 (Hwa Sa)","WOOGIE, Loco, Hwa Sa"
2019,3,37,Save (Feat. 팔로알토)(Prod. 코드 쿤스트),루피 (Loopy),"CODE KUNST, Loopy, Paloalto"
2019,3,38,"갈매기의 꿈 (Prod. 기리보이, Minit)","권영훈 (TANGTHEAWESOME), 최진호 (BlueWhale)","TANGTHEAWESOME, BlueWhale, GIRIBOY, Minit"
2019,3,39,거울 (Prod. GroovyRoom),"sokodomo (소코도모), Untell (언텔)",GroovyRoom
2019,3,40,사임사임 (Feat. CHANGMO),"쿠기 (Coogie), 수퍼비 (SUPERBEE), D.Ark (디아크)",CHANGMO
2019,3,41,Lullaby For A Cat,에픽하이 (EPIK HIGH),Tablo
2019,3,42,Selfmade Orange (Feat. SUPERBEE),창모 (CHANGMO),CHANGMO
2019,3,43,아름다워,창모 (CHANGMO),CHANGMO
2019,3,45,우연히 봄,"로꼬 (Loco), 유주 (YUJU)","똘아이박, 피터팬, Noheul"
2019,3,46,Enchanted Propaganda,Jvcki Wai (재키와이),Eddy Pauer
2019,3,48,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),"Tablo, DJ 투컷"
2019,3,49,"고래를 위하여 (Prod. Nutty, STAFFONLY)","강민수(AQUINAS), 이진우 ($IGA A)","Nutty, STAFFONLY"
2019,3,50,바코드 (Prod. GroovyRoom),"김하온 (HAON), 빈첸 (VINXEN)",GroovyRoom
2019,3,52,어땠을까 (Feat. 박정현),싸이 (PSY),"PSY, 유건형"
2019,3,53,iffy (Prod. GroovyRoom),"식케이 (Sik-K), pH-1 (피에이치원), 박재범 (Jay Park), 그루비룸 (GroovyRoom)",GroovyRoom
2019,3,54,널 너무 모르고,헤이즈 (Heize),GroovyRoom
2019,3,58,댄스 (Feat. 기리보이),한요한 (HANYOHAN),"Minit, HANYOHAN"
2019,3,59,"행성 (This Night) (Feat. Blue.D, Jhnovr)",그루비룸 (GroovyRoom),"GroovyRoom, Blue.D, Jhnovr, WOODZ"
2019,3,60,ENGINE (엔.진) (Prod. By CODE KUNST),"박재범 (Jay Park), 우원재 (Woo Wonjae)","CODE KUNST, Jay Park, Woo Wonjae"
2019,3,61,Sleepless,에픽하이 (EPIK HIGH),Tablo
2019,3,62,꽃 (Prod. AVIN),김하온 (HAON),"HAON, AVIN"
2019,3,63,Jenga (Feat. Gaeko),헤이즈 (Heize),"Heize, DAVII"
2019,3,64,WHY DO FUCKBOIS HANG OUT ON THE NET,키드밀리 (Kid Milli),"Kid Milli, 이수호"
2019,3,65,돌아오지마 (Feat. 용준형 Of 비스트),헤이즈 (Heize),"Heize, 브라더수"
2019,3,66,소년점프 (Feat. 배기성),마미손 (Mommy Son),"Mommy Son, Ye-Yo!"
2019,3,69,"And July (Feat. DEAN, DJ Friz)",헤이즈 (Heize),"Deanfluenza, Hyuk Shin, J Bird, Esta, Delly Boi, DK"
2019,3,70,NoNo (Feat. 사이먼 도미닉) (Prod. 코드 쿤스트),루피 (Loopy),"CODE KUNST, Loopy, Simon Dominic"
2019,3,71,죽일 놈 (Guilty),다이나믹 듀오 (Dynamicduo),"GAEKO, Choiza, Primary"
2019,3,72,오렌지 나무 (Prod. CODE KUNST),"플루마 (PLUMA), 이영지 (Lee Young-ji)",CODE KUNST
2019,3,73,자니 (Feat. Dynamic Duo),프라이머리 (Primary),"GAEKO, Primary"
2019,3,74,마에스트로 (Maestro),창모 (CHANGMO),CHANGMO
2019,3,75,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",리쌍 (LEESSANG),"Leon Russell, Bonnie Bramlett, Delaney Bramlett, 길, PEEJAY"
2019,3,76,"NOAH (Feat. 박재범, Hoody)",김하온 (HAON),"GroovyRoom, Jay Park"
2019,3,78,보통연애 (Feat. 박보람),박경 (PARK KYUNG),"PARK KYUNG, Kero One, Score (13), GroovyRoom"
2019,3,80,+82 Bars,수퍼비 (SUPERBEE),Flash Note
2019,3,82,Martini Blue,DPR LIVE (디피알 라이브),"DPR LIVE, DPR CREAM"
2019,3,83,컨닝페이퍼 (Feat. 행주) (Prod. STAFFONLY),"강민수(AQUINAS), SEOMINGYU(서민규)","Nutty, STAFFONLY"
2019,3,84,북 (Prod. SLO),"Rohann (이로한), 김농밀 (nongmill kim)",SLO
2019,3,87,어린 왕자 (Prod. Godic),"김하온 (HAON), PULLIK (박준호)","Godic, GLOVE"
2019,3,88,Honmono (Feat. Black Nut),키드밀리 (Kid Milli),IOAH
2019,3,89,우산 (Feat. 윤하),에픽하이 (EPIK HIGH),Tablo
2019,3,94,주르륵 (feat. 휘인 of 마마무),딘딘 (DINDIN),"DINDIN, COUP D'ETAT, Mook, COE, 양세형"
2019,3,95,감아 (Feat. Crush),로꼬 (Loco),"GRAY, Crush"
2019,3,96,5 Gawd,수퍼비 (SUPERBEE),"SUPERBEE, Flash Note"
2019,3,97,아이야 (Feat. Beenzino),창모 (CHANGMO),CHANGMO
2019,3,99,Wu,나플라 (nafla),nafla
2019,3,100,Jasmine,DPR LIVE (디피알 라이브),"DPR LIVE, CODE KUNST"
2019,4,2,술이 달다 (Feat. Crush),에픽하이 (EPIK HIGH),"Tablo, DJ 투컷, philtre"
2019,4,5,눈 (Prod. 기리보이),"Lil tachi (릴타치), 호치키스 (HOTCHKISS)",GIRIBOY
2019,4,7,띵 (Prod. By 기리보이),"Jvcki Wai (재키와이), 양홍원 (YANGHONGWON), Osshun Gum (오션검), 한요한 (HANYOHAN)","Jvcki Wai, GIRIBOY"
2019,4,12,아낙네,MINO (송민호),"MINO, FUTURE BOUNCE, TEXU"
2019,4,13,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1 (피에이치원), 키드밀리 (Kid Milli), 루피 (Loopy)","CODE KUNST, Paloalto, pH-1, Kid Milli, Loopy"
2019,4,16,"GO HIGH (Feat. 우원재, 창모 (CHANGMO), The Quiett) (Prod. CODE KUNST)",이영지 (Lee Young-ji),"CODE KUNST, CHANGMO"
2019,4,18,호불호 (Feat. 기리보이) (Prod. By GRAY),우원재 (Woo Wonjae),"Woo Wonjae, GRAY"
2019,4,20,flex (Prod. By 기리보이),"기리보이 (GIRIBOY), 키드밀리 (Kid Milli), NO:EL (노엘), 스윙스 (Swings)",GIRIBOY
2019,4,21,문제아 (Full Ver.),"수퍼비 (SUPERBEE), UNEDUCATED KID (언에듀케이티드 키드)","SUPERBEE, UNEDUCATED KID, Flash Note"
2019,4,24,HERE (Feat. 빈첸 (VINXEN)) (Prod. CODE KUNST),김민규 (Young Kay),"CODE KUNST, VINXEN"
2019,4,26,오랜만이야 (Feat. Zion.T),로꼬 (Loco),"GRAY, Zion.T, Loco"
2019,4,28,IndiGO,"저스디스 (JUSTHIS), 키드밀리 (Kid Milli), NO:EL (노엘), 양홍원 (YANGHONGWON)",BRLLNT
2019,4,29,별 헤는 밤 (Prod. CODE KUNST),"김민규 (Young Kay), Gist (윤현선)",CODE KUNST
2019,4,30,시간이 들겠지 (Feat. Colde),로꼬 (Loco),"APRO, Loco, Colde"
2019,4,33,우연히 봄,"로꼬 (Loco), 유주 (YUJU)","똘아이박, 피터팬, Noheul"
2019,4,34,붕붕 (Feat. 식케이) (Prod. GroovyRoom),김하온 (HAON),"GroovyRoom, Sik-K"
2019,4,35,Freedumb (Feat. HAON (김하온)) (Prod. BOYCOLD),sokodomo (소코도모),"BOYCOLD, sokodomo"
2019,4,36,Heu ! (Full Ver.),수퍼비 (SUPERBEE),"SUPERBEE, Flash Note"
2019,4,37,시차 (We Are) (Feat. 로꼬 & GRAY),우원재 (Woo Wonjae),GRAY
2019,4,38,새벽에,에픽하이 (EPIK HIGH),"Tablo, SUGA, EL CAPITXN"
2019,4,39,IMJMWDP (Prod. By 기리보이),"기리보이 (GIRIBOY), NO:EL (노엘), 블랙넛 (Black Nut), 양홍원 (YANGHONGWON), Osshun Gum (오션검), YUNHWAY (윤훼이), 저스디스 (JUSTHIS), Jvcki Wai (재키와이), 키드밀리 (Kid Milli), 한요한 (HANYOHAN), 스윙스 (Swings)",GIRIBOY
2019,4,42,수퍼비와 (Feat. BewhY) (Prod. BewhY),수퍼비 (SUPERBEE),"Truthislonely, twlv, SUPERBEE"
2019,4,43,컨닝페이퍼 (Feat. 행주) (Prod. STAFFONLY),"강민수(AQUINAS), SEOMINGYU(서민규)","Nutty, STAFFONLY"
2019,4,44,오렌지 나무 (Prod. CODE KUNST),"플루마 (PLUMA), 이영지 (Lee Young-ji)",CODE KUNST
2019,4,46,Save (Feat. 팔로알토)(Prod. 코드 쿤스트),루피 (Loopy),"CODE KUNST, Loopy, Paloalto"
2019,4,47,아름다워,창모 (CHANGMO),CHANGMO
2019,4,48,OKGO (Feat. E SENS),빈지노 (Beenzino),"PEEJAY, Beenzino, SHIMMY TWICE"
2019,4,49,Selfmade Orange (Feat. SUPERBEE),창모 (CHANGMO),CHANGMO
2019,4,50,사임사임 (Feat. CHANGMO),"쿠기 (Coogie), 수퍼비 (SUPERBEE), D.Ark (디아크)",CHANGMO
2019,4,51,"따라와 (Feat. 쿠기 (Coogie), The Quiett) (Prod. CODE KUNST)",이영지 (Lee Young-ji),CODE KUNST
2019,4,52,한라산 (Hi-Lite Sign) (Prod. by Yosi),"팔로알토 (Paloalto), 스월비 (Swervy), 조원우 (Jowonu), 허클베리피 (Huckleberry P)","Yosi, Paloalto"
2019,4,53,바코드 (Prod. GroovyRoom),"김하온 (HAON), 빈첸 (VINXEN)",GroovyRoom
2019,4,54,카모플라쥬 (Feat. Kid Milli) (Prod. Coa White),"Lil tachi (릴타치), 최진호 (BlueWhale)","Kid Milli, Coa White"
2019,4,55,Drama (Prod. MoonMean),최진호 (BlueWhale),MoonMean
2019,4,56,U.F.O (Feat. Uneducated Kid) (Prod. GroovyRoom),sokodomo (소코도모),GroovyRoom
2019,4,57,어땠을까 (Feat. 박정현),싸이 (PSY),"PSY, 유건형"
2019,4,58,거울 (Prod. GroovyRoom),"sokodomo (소코도모), Untell (언텔)",GroovyRoom
2019,4,59,널 너무 모르고,헤이즈 (Heize),GroovyRoom
2019,4,60,"갈매기의 꿈 (Prod. 기리보이, Minit)","권영훈 (TANGTHEAWESOME), 최진호 (BlueWhale)","TANGTHEAWESOME, BlueWhale, GIRIBOY, Minit"
2019,4,61,iffy (Prod. GroovyRoom),"식케이 (Sik-K), pH-1 (피에이치원), 박재범 (Jay Park), 그루비룸 (GroovyRoom)",GroovyRoom
2019,4,62,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),"Tablo, DJ 투컷"
2019,4,64,Paranoid,ASH ISLAND (애쉬 아일랜드),"ASH ISLAND, TOIL"
2019,4,65,Enchanted Propaganda,Jvcki Wai (재키와이),Eddy Pauer
2019,4,67,DOGSICK (Feat. NO:EL) (Prod. Ian Purp),Lil tachi (릴타치),Ian Purp
2019,4,68,In Seoul (Feat. 선우정아),에픽하이 (EPIK HIGH),"Tablo, DJ 투컷"
2019,4,69,WHY DO FUCKBOIS HANG OUT ON THE NET,키드밀리 (Kid Milli),"Kid Milli, 이수호"
2019,4,73,"And July (Feat. DEAN, DJ Friz)",헤이즈 (Heize),"Deanfluenza, Hyuk Shin, J Bird, Esta, Delly Boi, DK"
